StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,Insurance,HighBloodPressure,Cancer,Asthma,HeartDisease,AnnualCheckUps,Smokes,MentalHealthIssues,Latitude,Longitude,CountyFIPS
AZ,Avondale,404720,4013082207,0404720-04013082207,416,22.1,28.4,5.7,10.6,5.6,65.7,18.6,14.6,33.40135496,-112.2948141,4013
AZ,Chandler,412000,4013422307,0412000-04013422307,75,10.1,29.3,7.8,10.4,6,68.9,14.6,12,33.36053424,-111.8363702,4013
AZ,Chandler,412000,4013810100,0412000-04013810100,99,8.7,21.8,5.7,8.7,3.1,66,10.9,8.9,33.32605141,-111.91465,4013
AZ,Chandler,412000,4013817300,0412000-04013817300,102,6.9,49.1,17,9,11.5,83.9,7.5,6.7,33.23252579,-111.8674335,4013
AZ,Gilbert,427400,4013422636,0427400-04013422636,452,14,18.7,4,11.1,2.7,61.8,17.9,14.1,33.38243002,-111.7235695,4013
AZ,Glendale,427820,4013061011,0427820-04013061011,132,17.6,23.9,4.6,10,3.7,64.6,16,12.5,33.53674161,-112.3201802,4013
AZ,Glendale,427820,4013061044,0427820-04013061044,187,13.3,26.2,5.6,10.3,4.5,66.3,16.2,12.4,33.56437253,-112.4041743,4013
AZ,Glendale,427820,4013061047,0427820-04013061047,149,13.1,24.5,6.1,9.5,3.9,68.5,12,10.3,33.51290014,-112.3519983,4013
AZ,Mesa,446000,4013420108,0446000-04013420108,88,7.4,24.3,6.3,9.3,3.9,66.3,13.4,10.1,33.48587013,-111.6421438,4013
AZ,Mesa,446000,4013420114,0446000-04013420114,777,17.2,25.1,4.6,11.5,4.4,61.7,24.7,17,33.41970255,-111.6535045,4013
AZ,Mesa,446000,4013420115,0446000-04013420115,499,18.5,36.2,8.4,11,9.3,68.7,19.8,14.9,33.41896388,-111.6208132,4013
AZ,Mesa,446000,4013420214,0446000-04013420214,750,16.5,32.9,8.3,10.4,7.3,68.8,17.5,13.1,33.4176144,-111.7029648,4013
AZ,Mesa,446000,4013422627,0446000-04013422627,248,18,22.1,4.1,10.9,3.7,61.1,21.3,15.5,33.40966007,-111.6419309,4013
AZ,Mesa,446000,4013422630,0446000-04013422630,391,11.3,57.6,17,10.5,18,82.7,14.1,10.6,33.39546186,-111.6280389,4013
AZ,Mesa,446000,4013422639,0446000-04013422639,547,11,28.4,7.6,10,5.5,68.5,13.7,11.2,33.38943008,-111.693856,4013
AZ,Mesa,446000,4013817600,0446000-04013817600,222,15.6,28.4,5.7,11.1,5.6,64.8,20.7,15.5,33.30368549,-111.6335862,4013
AZ,Peoria,454050,4013040521,0454050-04013040521,56,12.2,17.9,3.8,9.4,2.6,61.1,14.9,11.5,33.73323839,-112.2975291,4013
AZ,Peoria,454050,4013071506,0454050-04013071506,152,12,25.4,5.4,11.2,4.2,65,19.4,14.4,33.61989829,-112.2568599,4013
AZ,Peoria,454050,4013071802,0454050-04013071802,252,9.2,54.5,16.9,10.1,15,83.3,11.6,9.4,33.57505197,-112.2710004,4013
AZ,Phoenix,455000,4013113400,0455000-04013113400,684,32.1,31.1,4.4,10,10.3,61.2,24.2,18.6,33.45495925,-112.0258112,4013
AZ,Phoenix,455000,4013116733,0455000-04013116733,283,7.8,27.8,7,9.5,4.6,68.7,13.3,10.2,33.33638878,-112.0698144,4013
AZ,Phoenix,455000,4013217300,0455000-04013217300,120,6,35.2,11.2,9.5,6.9,75.5,9.2,8.5,33.50538365,-111.9416895,4013
AZ,Phoenix,455000,4013610100,0455000-04013610100,881,9.9,23,5.6,10.1,3.6,65.2,16.4,11.8,33.88828353,-112.1453488,4013
AZ,Phoenix,455000,4013614300,0455000-04013614300,52,9.2,24.1,6.1,9.9,3.7,65.8,14.5,11,33.68587348,-112.1550564,4013
AZ,Scottsdale,465000,4013105002,0465000-04013105002,201,5.1,34,12.3,8.5,6.9,76.2,6.5,6.8,33.51105104,-111.9358112,4013
AZ,Scottsdale,465000,4013613000,0465000-04013613000,151,5.8,42.2,14.1,9.2,9,79.8,8.7,7.4,33.78919278,-111.9418109,4013
AZ,Scottsdale,465000,4013613200,0465000-04013613200,907,8.6,33.4,8.5,10.5,6.7,70.6,15.3,11.8,33.75534567,-111.9309481,4013
AZ,Surprise,471510,4013071505,0471510-04013071505,404,8.6,51.8,16.7,10.1,13.6,82.5,11.5,9.2,33.63518429,-112.3103256,4013
AZ,Tempe,473000,4013810600,0473000-04013810600,81,6.9,30.6,8.7,9.7,5.4,71,12.3,9.7,33.32783196,-111.9155546,4013
AZ,Tucson,477000,4019000100,0477000-04019000100,514,11.4,29.1,7.2,8.9,6.4,65.7,14.8,11.1,32.22086448,-110.9710635,4019
AZ,Tucson,477000,4019004053,0477000-04019004053,326,9.3,25,7.3,10,4.3,66.8,14.3,11.1,32.26039503,-110.8095857,4019
AZ,Tucson,477000,4019004061,0477000-04019004061,93,11,25.1,5.6,9.7,4.2,64.2,18.2,12.5,32.03521211,-110.70824,4019
AZ,Tucson,477000,4019004310,0477000-04019004310,264,18.9,26.3,5.2,9.7,4.9,63.6,18.7,13.8,32.17310451,-111.0077432,4019
AZ,Tucson,477000,4019004506,0477000-04019004506,204,27,23.6,3.9,10.3,4.1,59.8,22.8,16.9,32.31036247,-111.038031,4019
AZ,Tucson,477000,4019004513,0477000-04019004513,309,17.4,32.1,7.2,10.3,7.3,66.1,20.6,14.9,32.28086752,-110.9974022,4019
AZ,Tucson,477000,4019004613,0477000-04019004613,426,16.5,24.8,5,10.4,4.6,62.1,21.5,15,32.31634744,-111.0412557,4019
AZ,Tucson,477000,4019004725,0477000-04019004725,631,12.5,18.3,4.3,9.3,3.2,60.5,14.1,12,32.29826785,-110.9706552,4019
AZ,Tucson,477000,4019004726,0477000-04019004726,367,7.9,22.5,6.7,8.2,3.8,66.3,9.6,8.3,32.29564477,-110.9552257,4019
AZ,Tucson,477000,4019005300,0477000-04019005300,697,8.4,26.7,7.4,9.4,4.9,67.3,14,10.6,32.24120988,-110.7837692,4019
AZ,Yuma,485540,4027000403,0485540-04027000403,123,19.2,42.7,8.3,11.6,10.9,68.8,23.7,16.8,32.70875569,-114.659969,4027
AZ,Yuma,485540,4027000404,0485540-04027000404,475,38.8,40.4,8,11.2,12.6,66.4,21.4,17.6,32.71804159,-114.6530284,4027
AZ,Yuma,485540,4027011107,0485540-04027011107,465,13.9,28,6.4,8.7,5.1,65.6,13.4,10.5,32.66381754,-114.5605745,4027
AZ,Yuma,485540,4027011700,0485540-04027011700,454,12.6,47.4,13.9,9.8,12,77.9,12.1,9.6,32.67670998,-114.4684678,4027
AR,Fayetteville,523290,5143010503,0523290-05143010503,625,10.3,21.9,3.7,9,2.8,63.3,17.3,13.7,36.11865506,-94.16204508,5143
AR,Fayetteville,523290,5143011001,0523290-05143011001,562,12.7,34.2,6.3,8.8,5.9,67.9,19.6,13.8,36.03308447,-94.19985709,5143
AR,Fort Smith,524550,5131010301,0524550-05131010301,137,11.2,29.7,5.2,9.3,4.9,68.6,23.6,15.2,35.26683989,-94.37153115,5131
AR,Jonesboro,535710,5031000900,0535710-05031000900,92,12.2,43.9,9.3,9.6,11.2,74.4,23.7,15.7,35.77438489,-90.57582053,5031
AR,Little Rock,541000,5119000200,0541000-05119000200,864,17.1,47.2,6.2,10.8,7.4,75.6,25.2,14.9,34.73087632,-92.22930827,5119
AR,Little Rock,541000,5119004006,0541000-05119004006,395,18.4,39.4,3.8,10.5,4.8,71.7,26.3,16.3,34.63740056,-92.34532324,5119
AR,Little Rock,541000,5119004007,0541000-05119004007,881,15.9,49.7,7.1,11.2,9,76.7,25.6,15.8,34.7067108,-92.18285304,5119
AR,Springdale,566080,5007021311,0566080-05007021311,987,8.5,25.3,5.8,8.8,4.6,69.3,16,12.1,36.22388525,-94.2145134,5007
AR,Springdale,566080,5007021406,0566080-05007021406,869,17.6,22.6,3.7,9.6,3.9,65.9,22,16.2,36.22833201,-94.12528143,5007
AR,Springdale,566080,5143010101,0566080-05143010101,505,16.4,33.3,5.2,9.1,5.6,66.5,22.1,15.4,36.18147091,-94.09254419,5143
AR,Springdale,566080,5143010102,0566080-05143010102,408,9.6,31.5,6.5,8.1,5,68.8,14.1,11,36.15020134,-94.08641176,5143
CA,Anaheim,602000,6059011714,0602000-06059011714,499,14.4,16.1,2.8,7.3,1.9,60.2,10.1,10.8,33.85696948,-117.8543201,6059
CA,Anaheim,602000,6059075813,0602000-06059075813,378,6.7,29.4,7.8,8.2,5.1,70.4,9.9,9.6,33.83716167,-117.8191307,6059
CA,Anaheim,602000,6059087703,0602000-06059087703,578,17.9,28.9,4.9,8.2,5.5,65.9,14.8,13.2,33.80640148,-117.9607879,6059
CA,Anaheim,602000,6059088402,0602000-06059088402,805,20.3,20.3,2.7,8.9,2.9,59.4,16.7,15.6,33.79425631,-117.9161662,6059
CA,Anaheim,602000,6059110201,0602000-06059110201,758,12.7,41.6,9.6,7.3,8.6,77.5,8.6,8.6,33.83284196,-118.0048626,6059
CA,Antioch,602252,6013313103,0602252-06013313103,498,12,20.7,3.4,8.8,2.7,63.4,14.2,12.1,37.98720416,-121.8566329,6013
CA,Apple Valley,602364,6071009708,0602364-06071009708,356,11.7,40.3,8.5,10.1,9.7,71.8,20.1,15.6,34.44862331,-117.1828263,6071
CA,Bakersfield,603526,6029000906,0603526-06029000906,707,18.3,31.2,5.7,10.2,5.9,64.7,18.8,15.6,35.38142174,-118.9353517,6029
CA,Bakersfield,603526,6029000907,0603526-06029000907,575,21.9,28.3,4,10.3,4.6,62.5,20,17.3,35.38030828,-118.9202628,6029
CA,Bakersfield,603526,6029000909,0603526-06029000909,811,7.8,34.5,8.9,8.8,6.2,71.5,11.1,10,35.3900098,-118.9357075,6029
CA,Bakersfield,603526,6029001000,0603526-06029001000,878,17.5,27.7,4.6,9.8,4.6,61.9,20.2,15.8,35.38570144,-118.8794386,6029
CA,Bakersfield,603526,6029001201,0603526-06029001201,176,22.1,34.7,4.3,10.1,7.9,61.5,25.8,19.3,35.38620667,-118.9696564,6029
CA,Bakersfield,603526,6029002700,0603526-06029002700,571,22.3,36.1,5.6,10.6,8,64.8,21.8,18.2,35.34609941,-119.0299348,6029
CA,Bakersfield,603526,6029003103,0603526-06029003103,152,20.3,37,5.4,11.9,7.6,64.3,26.6,20.3,35.31120401,-118.9931303,6029
CA,Bakersfield,603526,6029003807,0603526-06029003807,834,9.6,27.8,6.1,9.7,4.6,65.3,15.7,13.1,35.39154247,-119.1121596,6029
CA,Bakersfield,603526,6029003810,0603526-06029003810,915,6.8,28.6,6.4,8.9,4.2,68.2,11.7,10.5,35.37156186,-119.1356787,6029
CA,Bakersfield,603526,6029003811,0603526-06029003811,612,11.4,22.3,4.3,9.4,3,62.6,15.3,12.9,35.37152964,-119.1231633,6029
CA,Bakersfield,603526,6029005103,0603526-06029005103,141,8.5,47.7,13.1,9.6,11.7,76,14.3,11.5,35.41313759,-118.987912,6029
CA,Baldwin Park,603666,6037406901,0603666-06037406901,322,24.8,18,2.7,8.4,2.8,60.3,13.2,13.7,34.06293365,-117.9675742,6037
CA,Baldwin Park,603666,6037407001,0603666-06037407001,562,24.5,20.2,3.5,8.7,3.3,62.8,13.6,13.3,34.06444246,-117.9742234,6037
CA,Carlsbad,611194,6073017107,0611194-06073017107,76,4.7,21.5,4.9,7.9,2.5,66.6,9,8.8,33.06587765,-117.2466945,6073
CA,Carlsbad,611194,6073017110,0611194-06073017110,965,7,23.1,5.4,8.4,3.3,66.4,10.7,10.4,33.08362826,-117.2225352,6073
CA,Carson,611530,6037543100,0611530-06037543100,549,15.1,39.2,6.1,12.4,6.1,76.6,16.1,13.9,33.87846001,-118.2576973,6037
CA,Chino,613210,6071000107,0613210-06071000107,621,10,21.7,4.6,7.8,3,67.1,11,10.6,33.98825607,-117.7183523,6071
CA,Chino,613210,6071000115,0613210-06071000115,61,9.8,18.2,4,7.1,2.7,65.2,9.1,9.3,33.95488851,-117.6635724,6071
CA,Chino,613210,6071001704,0613210-06071001704,299,19.3,23.7,4,8.5,3.8,65.3,14.2,13.5,34.03116711,-117.6618765,6071
CA,Chula Vista,613392,6073003207,0613392-06073003207,495,13.4,30.8,7.4,8.6,5.7,69.4,12.2,11.4,32.66347315,-117.0338512,6073
CA,Chula Vista,613392,6073010103,0613392-06073010103,78,21.7,33.6,6,8.7,6.4,68.2,14.3,13.3,32.6005742,-117.0905726,6073
CA,Citrus Heights,613588,6067008130,0613588-06067008130,192,10.2,30,5.6,10.7,4.9,64.9,17.7,14.6,38.6953948,-121.3260081,6067
CA,Compton,615044,6037541100,0615044-06037541100,104,16,38.9,4.9,13.4,5.4,75.5,20.9,16.7,33.89685382,-118.254694,6037
CA,Compton,615044,6037541801,0615044-06037541801,452,28.1,28.2,3.7,10.7,5.1,64.1,19.4,17.9,33.90874374,-118.1954298,6037
CA,Compton,615044,6037541802,0615044-06037541802,188,22,35.7,5.7,11.7,6.5,71.8,16.7,15.1,33.90628542,-118.1882601,6037
CA,Compton,615044,6037542103,0615044-06037542103,312,30.3,28.9,3.7,10.4,5.6,63.7,19.8,18.1,33.90381467,-118.1959933,6037
CA,Compton,615044,6037542104,0615044-06037542104,699,25.8,22.9,3.4,9,3.9,62.7,14.7,14.2,33.90234655,-118.1906136,6037
CA,Compton,615044,6037542106,0615044-06037542106,285,29.7,24.2,3.4,9.9,4.6,62.2,17.5,16.7,33.89239901,-118.185834,6037
CA,Compton,615044,6037543305,0615044-06037543305,69,21.1,32.7,7.8,7.2,9.8,69.4,11.1,9.8,33.87010939,-118.2258356,6037
CA,Concord,616000,6013313204,0616000-06013313204,393,10.7,29.1,6.7,9.5,6,66.5,16.1,13.4,37.96408343,-121.9397256,6013
CA,Concord,616000,6013315000,0616000-06013315000,117,8.6,27.1,5.2,9,4.5,64.5,15.8,12.3,38.01294467,-122.0275361,6013
CA,Concord,616000,6013355200,0616000-06013355200,354,9.4,11.9,2.3,9.9,1.3,56.2,14.5,13.4,37.99095412,-121.9823276,6013
CA,Concord,616000,6013355306,0616000-06013355306,91,6,22.8,6.4,8.6,3.9,66.9,9.2,10,37.93018507,-121.9611055,6013
CA,Corona,616350,6065041409,0616350-06065041409,573,13.2,22.2,4.4,7.8,3.2,63.8,11,11.3,33.85979154,-117.5089905,6065
CA,Corona,616350,6065041412,0616350-06065041412,232,17.1,27.5,4.8,8.3,4.6,65.3,14.4,13.3,33.88793915,-117.5092688,6065
CA,Corona,616350,6065041909,0616350-06065041909,180,13.9,33.2,6.6,9.1,6.7,67.4,16.1,14.6,33.84026617,-117.525857,6065
CA,Corona,616350,6065041910,0616350-06065041910,979,12,23.9,4.6,8.8,3.5,63.5,15.5,13.3,33.81661652,-117.5062678,6065
CA,Costa Mesa,616532,6059063101,0616532-06059063101,322,9.4,25,6,8.2,4.4,65.3,11.3,11,33.66811813,-117.8856258,6059
CA,El Cajon,621712,6073015403,0621712-06073015403,673,6.4,29,7.6,8.4,5,69.7,10.5,10,32.77617404,-116.9557994,6073
CA,El Cajon,621712,6073016503,0621712-06073016503,203,12.4,26.3,5.7,9.6,4.5,64.7,17.1,14.1,32.82023334,-116.9507272,6073
CA,El Cajon,621712,6073016616,0621712-06073016616,647,8.9,33.6,7.9,9.5,6.8,69.1,15.1,13.1,32.82649269,-116.993036,6073
CA,El Cajon,621712,6073016807,0621712-06073016807,683,9.7,29.1,6.7,9.5,5,67.5,15.4,12.9,32.81916849,-116.9167205,6073
CA,El Cajon,621712,6073016809,0621712-06073016809,529,9,30.2,6.7,9,5,68.4,14.5,11.8,32.81741209,-116.9141594,6073
CA,Elk Grove,622020,6067009325,0622020-06067009325,658,6.8,32.3,8.2,9.5,5.6,70.4,10.7,10.3,38.41959586,-121.3024676,6067
CA,El Monte,622230,6037431501,0622230-06037431501,642,13,45.2,12.7,8.9,12.3,78.6,10.8,10.2,34.09473549,-118.0310778,6037
CA,El Monte,622230,6037431502,0622230-06037431502,391,18.1,16.2,2.6,7.2,2.2,61.3,10.7,10.8,34.09699089,-118.0241803,6037
CA,El Monte,622230,6037432102,0622230-06037432102,89,14.4,21.3,4,6.8,3.6,66.5,9.6,9.5,34.08769223,-118.0561654,6037
CA,El Monte,622230,6037432902,0622230-06037432902,87,12,51.4,13.1,6.6,13.8,85.6,6,6.5,34.08380308,-118.0602673,6037
CA,Escondido,622804,6073020401,0622804-06073020401,908,5.5,35.2,9.9,8.4,6.4,74.2,9.4,9.1,33.06628749,-117.0806835,6073
CA,Fontana,624680,6071002204,0624680-06071002204,814,22.3,27.1,4.5,9.1,5,65.9,16.8,15.4,34.05683663,-117.5115046,6071
CA,Fontana,624680,6071002501,0624680-06071002501,636,24.3,29,5.1,8.9,5.9,66.5,15.8,14.9,34.06850378,-117.4718849,6071
CA,Fontana,624680,6071009202,0624680-06071009202,142,10.4,26.1,4.5,8.6,3.9,68.1,14.8,12.3,34.17258993,-117.4800901,6071
CA,Fresno,627000,6019000800,0627000-06019000800,638,29,26.7,2.9,10.6,4.7,59.6,20.9,19,36.70951497,-119.8288196,6019
CA,Fresno,627000,6019001500,0627000-06019001500,69,21.5,43.5,9.5,10.5,12.8,68.5,19,15.3,36.68778368,-119.7602026,6019
CA,Fresno,627000,6019001900,0627000-06019001900,235,18.3,27.9,4.3,10,4.9,61.8,18.4,15.7,36.69825048,-119.8995317,6019
CA,Fresno,627000,6019003004,0627000-06019003004,994,18.8,31.3,5.6,10.3,6.3,64.6,16.7,15,36.74632148,-119.7083284,6019
CA,Fresno,627000,6019004506,0627000-06019004506,663,7.4,32.9,10.1,9.2,6.5,71.1,9.3,9.5,36.81485647,-119.8088068,6019
CA,Fresno,627000,6019004602,0627000-06019004602,131,10.8,24.2,6,9.2,4,64,10.7,10.9,36.80492694,-119.8135536,6019
CA,Fresno,627000,6019004902,0627000-06019004902,356,12.3,27.5,5.6,10.1,5.1,63.6,15.4,13.6,36.78483121,-119.8052489,6019
CA,Fullerton,628000,6059001503,0628000-06059001503,842,8.7,32.2,8.2,8.4,6.5,69.7,11.7,11,33.90504806,-117.9115326,6059
CA,Fullerton,628000,6059011712,0628000-06059011712,571,13,12.3,1.7,8.8,1.3,59.9,11,13.4,33.8815348,-117.8753483,6059
