Place_TractID,StateAbbr,PlaceName,city_state,PlaceFIPS,TractFIPS,CountyFIPS,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0603526-06029003810,CA,Bakersfield,Bakersfield_CA,603526,6029003810,6029,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029003811,CA,Bakersfield,Bakersfield_CA,603526,6029003811,6029,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029005103,CA,Bakersfield,Bakersfield_CA,603526,6029005103,6029,241.0,0,9.0,74.3,,,
0603666-06037406901,CA,Baldwin Park,Baldwin Park_CA,603666,6037406901,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0603666-06037407001,CA,Baldwin Park,Baldwin Park_CA,603666,6037407001,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0611194-06073017107,CA,Carlsbad,Carlsbad_CA,611194,6073017107,6073,376.0,0,0.0,27.4,0.0,6.0,0.083
0611194-06073017110,CA,Carlsbad,Carlsbad_CA,611194,6073017110,6073,376.0,0,0.0,27.4,0.0,6.0,0.083
0611530-06037543100,CA,Carson,Carson_CA,611530,6037543100,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0613210-06071000107,CA,Chino,Chino_CA,613210,6071000107,6071,355.0,0,7.0,51.3,,,
0613210-06071000115,CA,Chino,Chino_CA,613210,6071000115,6071,355.0,0,7.0,51.3,,,
0613210-06071001704,CA,Chino,Chino_CA,613210,6071001704,6071,355.0,0,7.0,51.3,,,
0613392-06073003207,CA,Chula Vista,Chula Vista_CA,613392,6073003207,6073,369.0,0,1.0,42.7,0.0,1.0,0.074
0613392-06073010103,CA,Chula Vista,Chula Vista_CA,613392,6073010103,6073,369.0,0,1.0,42.7,0.0,1.0,0.074
0613588-06067008130,CA,Citrus Heights,Citrus Heights_CA,613588,6067008130,6067,315.0,0,0.0,28.2,0.0,9.0,0.088
0615044-06037541100,CA,Compton,Compton_CA,615044,6037541100,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037541801,CA,Compton,Compton_CA,615044,6037541801,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037541802,CA,Compton,Compton_CA,615044,6037541802,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542103,CA,Compton,Compton_CA,615044,6037542103,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542104,CA,Compton,Compton_CA,615044,6037542104,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542106,CA,Compton,Compton_CA,615044,6037542106,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037543305,CA,Compton,Compton_CA,615044,6037543305,6037,278.0,0,10.0,89.9,,,
0616000-06013313204,CA,Concord,Concord_CA,616000,6013313204,6013,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013315000,CA,Concord,Concord_CA,616000,6013315000,6013,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013355200,CA,Concord,Concord_CA,616000,6013355200,6013,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013355306,CA,Concord,Concord_CA,616000,6013355306,6013,183.0,0,6.0,89.4,0.0,0.0,0.07
0616350-06065041409,CA,Corona,Corona_CA,616350,6065041409,6065,355.0,0,7.0,51.3,,,
0616350-06065041412,CA,Corona,Corona_CA,616350,6065041412,6065,355.0,0,7.0,51.3,,,
0616350-06065041909,CA,Corona,Corona_CA,616350,6065041909,6065,355.0,0,7.0,51.3,,,
0616350-06065041910,CA,Corona,Corona_CA,616350,6065041910,6065,355.0,0,7.0,51.3,,,
0616532-06059063101,CA,Costa Mesa,Costa Mesa_CA,616532,6059063101,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0621712-06073015403,CA,El Cajon,El Cajon_CA,621712,6073015403,6073,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016503,CA,El Cajon,El Cajon_CA,621712,6073016503,6073,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016616,CA,El Cajon,El Cajon_CA,621712,6073016616,6073,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016807,CA,El Cajon,El Cajon_CA,621712,6073016807,6073,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016809,CA,El Cajon,El Cajon_CA,621712,6073016809,6073,378.0,0,0.0,31.8,0.0,9.0,0.081
0622020-06067009325,CA,Elk Grove,Elk Grove_CA,622020,6067009325,6067,341.0,0,2.0,44.5,0.0,3.0,0.077
0622230-06037431501,CA,El Monte,El Monte_CA,622230,6037431501,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037431502,CA,El Monte,El Monte_CA,622230,6037431502,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037432102,CA,El Monte,El Monte_CA,622230,6037432102,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037432902,CA,El Monte,El Monte_CA,622230,6037432902,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0622804-06073020401,CA,Escondido,Escondido_CA,622804,6073020401,6073,376.0,0,0.0,27.4,0.0,6.0,0.083
0624680-06071002204,CA,Fontana,Fontana_CA,624680,6071002204,6071,361.0,0,1.0,39.2,0.0,49.0,0.118
0624680-06071002501,CA,Fontana,Fontana_CA,624680,6071002501,6071,361.0,0,1.0,39.2,0.0,49.0,0.118
0624680-06071009202,CA,Fontana,Fontana_CA,624680,6071009202,6071,361.0,0,1.0,39.2,0.0,49.0,0.118
0627000-06019000800,CA,Fresno,Fresno_CA,627000,6019000800,6019,210.0,0,9.0,88.3,,,
0627000-06019001500,CA,Fresno,Fresno_CA,627000,6019001500,6019,210.0,0,9.0,88.3,,,
0627000-06019001900,CA,Fresno,Fresno_CA,627000,6019001900,6019,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019003004,CA,Fresno,Fresno_CA,627000,6019003004,6019,210.0,0,9.0,88.3,,,
0627000-06019004506,CA,Fresno,Fresno_CA,627000,6019004506,6019,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019004602,CA,Fresno,Fresno_CA,627000,6019004602,6019,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019004902,CA,Fresno,Fresno_CA,627000,6019004902,6019,202.0,0,23.0,74.2,0.0,64.0,0.112
0628000-06059001503,CA,Fullerton,Fullerton_CA,628000,6059001503,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0628000-06059011712,CA,Fullerton,Fullerton_CA,628000,6059011712,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0628000-06059086701,CA,Fullerton,Fullerton_CA,628000,6059086701,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087503,CA,Garden Grove,Garden Grove_CA,629000,6059087503,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087602,CA,Garden Grove,Garden Grove_CA,629000,6059087602,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087806,CA,Garden Grove,Garden Grove_CA,629000,6059087806,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087902,CA,Garden Grove,Garden Grove_CA,629000,6059087902,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059088104,CA,Garden Grove,Garden Grove_CA,629000,6059088104,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059088904,CA,Garden Grove,Garden Grove_CA,629000,6059088904,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0630000-06037300501,CA,Glendale,Glendale_CA,630000,6037300501,6037,274.0,0,0.0,19.2,0.0,36.0,0.1
0632548-06037601700,CA,Hawthorne,Hawthorne_CA,632548,6037601700,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0632548-06037602301,CA,Hawthorne,Hawthorne_CA,632548,6037602301,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0633000-06001435200,CA,Hayward,Hayward_CA,633000,6001435200,6001,168.0,0,7.0,70.2,0.0,2.0,0.1
0633182-06065043308,CA,Hemet,Hemet_CA,633182,6065043308,6065,366.0,0,1.0,38.2,0.0,112.0,0.136
0633182-06065043310,CA,Hemet,Hemet_CA,633182,6065043310,6065,366.0,0,1.0,38.2,0.0,112.0,0.136
0633434-06071010009,CA,Hesperia,Hesperia_CA,633434,6071010009,6071,356.0,0,0.0,29.3,0.0,17.0,0.081
0636000-06059099702,CA,Huntington Beach,Huntington Beach_CA,636000,6059099702,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0636000-06059099703,CA,Huntington Beach,Huntington Beach_CA,636000,6059099703,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0636448-06065045215,CA,Indio,Indio_CA,636448,6065045215,6065,330.0,0,0.0,18.8,0.0,44.0,0.093
0636448-06065045226,CA,Indio,Indio_CA,636448,6065045226,6065,330.0,0,0.0,18.8,0.0,44.0,0.093
0636448-06065045606,CA,Indio,Indio_CA,636448,6065045606,6065,330.0,0,0.0,18.8,0.0,44.0,0.093
0636546-06037601501,CA,Inglewood,Inglewood_CA,636546,6037601501,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037601700,CA,Inglewood,Inglewood_CA,636546,6037601700,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037601802,CA,Inglewood,Inglewood_CA,636546,6037601802,6037,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037703002,CA,Inglewood,Inglewood_CA,636546,6037703002,6037,265.0,0,1.0,37.5,0.0,14.0,0.086
0636770-06059052404,CA,Irvine,Irvine_CA,636770,6059052404,6059,308.0,0,9.0,56.2,0.0,4.0,0.076
0639892-06037571503,CA,Lakewood,Lakewood_CA,639892,6037571503,6037,278.0,0,10.0,89.9,,,
0640130-06037900201,CA,Lancaster,Lancaster_CA,640130,6037900201,6037,281.0,0,0.0,26.6,0.0,43.0,0.087
0640130-06037901102,CA,Lancaster,Lancaster_CA,640130,6037901102,6037,281.0,0,0.0,26.6,0.0,43.0,0.087
0641992-06001450752,CA,Livermore,Livermore_CA,641992,6001450752,6001,167.0,0,2.0,41.5,0.0,6.0,0.086
0643000-06037572800,CA,Long Beach,Long Beach_CA,643000,6037572800,6037,276.0,0,8.0,59.4,,,
0643000-06037573403,CA,Long Beach,Long Beach_CA,643000,6037573403,6037,276.0,0,8.0,59.4,,,
0643000-06037574700,CA,Long Beach,Long Beach_CA,643000,6037574700,6037,276.0,0,8.0,59.4,,,
