StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,Insurance,HighBloodPressure,Cancer,Asthma,HeartDisease,AnnualCheckUps,Smokes,MentalHealthIssues,Latitude,Longitude,newFIPS,CountyFIPS
CA,Victorville,682590,6071009117,0682590-06071009117,92.0,17.9,34.0,6.0,10.7,7.7,66.5,24.0,18.9,34.6106014999,-117.362236887,6071,6071
CA,Victorville,682590,6071009119,0682590-06071009119,241.0,15.5,22.3,4.0,8.7,3.2,65.8,13.5,12.9,34.4548827378,-117.404679816,6071,6071
CA,Victorville,682590,6071010004,0682590-06071010004,217.0,10.4,53.0,22.3,7.4,15.1,88.0,3.7,6.2,34.4752665192,-117.264698152,6071,6071
CA,Victorville,682590,6071012101,0682590-06071012101,681.0,11.4,38.7,9.6,9.8,8.4,76.3,12.4,12.0,34.5666621209,-117.2894879,6071,6071
CA,Vista,682996,6073019208,0682996-06073019208,500.0,8.3,29.8,7.3,8.6,5.0,69.5,12.2,10.9,33.2047009245,-117.198873601,6073,6073
CA,Vista,682996,6073019805,0682996-06073019805,277.0,9.6,49.3,14.4,9.2,12.0,80.1,10.8,10.4,33.184115838,-117.282162773,6073,6073
CA,Vista,682996,6073019903,0682996-06073019903,162.0,8.6,30.3,7.4,9.1,5.4,69.0,13.1,11.9,33.188505837,-117.211585939,6073,6073
CA,Vista,682996,6073020019,0682996-06073020019,325.0,12.4,21.2,3.8,9.3,2.9,64.1,15.2,13.4,33.1347377752,-117.22397291,6073,6073
CA,West Covina,684200,6037403500,0684200-06037403500,429.0,12.2,38.3,14.3,7.1,9.4,79.5,5.3,6.7,34.0691432983,-117.86614441,6037,6037
CA,West Covina,684200,6037403600,0684200-06037403600,960.0,14.3,20.9,4.9,8.2,3.6,66.0,9.9,10.4,34.0726441264,-117.871926155,6037,6037
CA,West Covina,684200,6037405400,0684200-06037405400,150.0,17.5,37.1,10.6,8.1,8.8,76.4,9.0,9.3,34.0875338076,-117.935100715,6037,6037
CA,West Covina,684200,6037406901,0684200-06037406901,806.0,20.8,26.9,5.0,8.4,5.3,66.5,13.4,12.7,34.0636601861,-117.96340399,6037,6037
CA,West Covina,684200,6037406902,0684200-06037406902,717.0,18.9,25.9,5.3,8.3,5.0,67.3,12.4,11.7,34.0608486218,-117.960014896,6037,6037
CA,West Covina,684200,6037408141,0684200-06037408141,539.0,20.3,22.4,3.6,8.6,3.6,64.8,14.4,12.8,34.0059210212,-117.889118089,6037,6037
CA,Westminster,684550,6059088901,0684550-06059088901,399.0,13.6,38.3,6.4,6.9,8.1,72.9,13.4,10.5,33.7539830625,-117.962531055,6059,6059
CA,Westminster,684550,6059099203,0684550-06059099203,166.0,14.6,27.6,3.8,6.8,4.4,67.4,14.2,10.9,33.7437873204,-117.945536587,6059,6059
CA,Whittier,685292,6037501002,0685292-06037501002,638.0,16.2,22.3,4.8,8.0,3.9,65.9,10.3,10.7,33.9867421509,-118.063141875,6037,6037
CO,Arvada,803455,8059009843,0803455-08059009843,686.0,6.7,22.3,6.2,8.6,3.4,57.8,11.4,9.1,39.8111192108,-105.207955459,8059,8059
CO,Aurora,804000,8001008100,0804000-08001008100,854.0,13.8,25.9,6.4,9.0,6.8,59.9,13.3,11.0,39.7470100359,-104.837016018,8001,8001
CO,Aurora,804000,8005006854,0804000-08005006854,918.0,9.3,21.9,5.5,8.6,3.2,62.4,11.8,9.8,39.6493602063,-104.878182315,8005,8005
CO,Aurora,804000,8005006855,0804000-08005006855,185.0,5.0,35.7,10.3,8.6,6.7,72.3,10.2,8.6,39.5981212734,-104.819530945,8005,8005
CO,Aurora,804000,8005081700,0804000-08005081700,524.0,6.9,28.9,8.0,8.5,4.9,67.4,11.2,9.1,39.6275768875,-104.804971677,8005,8005
CO,Aurora,804000,8005085900,0804000-08005085900,59.0,7.7,34.2,10.3,8.7,6.9,70.6,12.1,9.3,39.6373156231,-104.75503044,8005,8005
CO,Aurora,804000,8005086300,0804000-08005086300,630.0,10.5,14.1,2.7,8.8,1.5,56.0,14.3,11.4,39.5910292309,-104.805508929,8005,8005
CO,Aurora,804000,8035013901,0804000-08035013901,117.0,7.5,22.6,6.1,9.2,3.5,61.2,13.7,10.2,39.5595823223,-104.733053866,8035,8035
CO,Boulder,807850,8013012705,0807850-08013012705,849.0,6.4,19.5,5.7,8.4,3.2,60.1,10.6,9.1,40.0652638585,-105.207903664,8013,8013
CO,Boulder,807850,8013012707,0807850-08013012707,436.0,17.3,15.2,2.5,7.4,2.4,50.2,16.8,11.4,40.0268176713,-105.221510504,8013,8013
CO,Boulder,807850,8013012710,0807850-08013012710,815.0,7.6,21.4,6.7,8.2,3.8,61.8,9.6,8.5,40.0091271567,-105.220522167,8013,8013
CO,Centennial,812815,8005005612,0812815-08005005612,549.0,10.5,23.0,6.2,8.8,4.0,61.6,14.1,10.8,39.61126636,-104.98230655,8005,8005
CO,Centennial,812815,8005006815,0812815-08005006815,384.0,11.6,15.4,3.0,8.0,1.8,56.7,12.1,10.2,39.5899165909,-104.872493921,8005,8005
CO,Centennial,812815,8005006854,0812815-08005006854,96.0,5.8,38.8,11.6,8.4,7.6,74.3,10.2,8.2,39.6043504579,-104.824981875,8005,8005
CO,Centennial,812815,8005083700,0812815-08005083700,791.0,9.9,20.9,4.5,8.7,2.9,60.7,14.1,10.8,39.6073158677,-104.815405572,8005,8005
CO,Centennial,812815,8005085800,0812815-08005085800,626.0,9.3,24.8,5.8,8.9,3.7,63.7,14.5,10.9,39.6317214137,-104.758553419,8005,8005
CO,Centennial,812815,8005085900,0812815-08005085900,793.0,10.7,19.1,3.9,8.8,2.3,59.9,14.7,10.9,39.6350541105,-104.756574274,8005,8005
CO,Colorado Springs,816000,8041003400,0816000-08041003400,578.0,7.9,30.9,8.6,9.7,6.0,66.7,14.8,11.1,38.8636307204,-104.894323857,8041,8041
CO,Colorado Springs,816000,8041005104,0816000-08041005104,427.0,10.4,16.0,3.6,9.5,1.9,55.7,17.3,12.1,38.88513154,-104.647275486,8041,8041
CO,Colorado Springs,816000,8041006700,0816000-08041006700,677.0,8.2,31.8,9.3,9.4,6.5,67.2,13.8,10.7,38.8644937754,-104.88771681,8041,8041
CO,Colorado Springs,816000,8041007500,0816000-08041007500,998.0,7.0,19.5,5.3,9.0,2.7,60.9,12.0,9.8,38.9938878325,-104.773634056,8041,8041
CO,Colorado Springs,816000,8041007601,0816000-08041007601,586.0,9.8,15.2,3.6,9.2,1.8,56.1,14.8,11.1,38.9468367059,-104.688111389,8041,8041
CO,Denver,820000,8031001902,0820000-08031001902,705.0,11.3,8.0,1.4,10.7,0.9,48.2,13.3,14.6,39.7458064796,-105.008303766,8031,8031
CO,Fort Collins,827425,8069000300,0827425-08069000300,514.0,9.7,14.8,3.4,8.7,1.9,52.9,12.7,10.8,40.5955988232,-105.112013857,8069,8069
CO,Fort Collins,827425,8069002501,0827425-08069002501,53.0,9.5,30.9,10.0,8.1,6.6,67.7,8.4,8.2,40.5850536769,-104.996239699,8069,8069
CO,Greeley,832155,8123000704,0832155-08123000704,656.0,18.4,20.1,4.0,9.3,3.1,52.6,17.9,13.3,40.3883243802,-104.673212488,8123,8123
CO,Greeley,832155,8123000705,0832155-08123000705,67.0,21.2,25.6,4.0,8.8,4.6,56.1,14.8,13.1,40.4283769732,-104.647007149,8123,8123
CO,Lakewood,843000,8059010100,0843000-08059010100,432.0,11.9,22.1,5.0,9.4,3.8,53.4,18.1,12.4,39.7378215254,-105.164533875,8059,8059
CO,Lakewood,843000,8059011721,0843000-08059011721,61.0,8.9,27.6,7.8,8.9,5.3,60.4,12.1,9.7,39.7165112056,-105.153131931,8059,8059
CO,Loveland,846465,8069002010,0846465-08069002010,345.0,7.4,31.5,9.5,8.9,5.8,66.8,11.9,9.2,40.3883972044,-105.151927521,8069,8069
CO,Pueblo,862000,8101000903,0862000-08101000903,777.0,20.2,13.0,1.0,12.5,1.5,51.9,22.6,25.8,38.308390317,-104.577677627,8101,8101
CO,Thornton,877290,8001008541,0877290-08001008541,500.0,7.2,36.6,10.9,9.5,7.4,71.1,13.0,9.0,39.9696295652,-104.902159344,8001,8001
CO,Thornton,877290,8001008551,0877290-08001008551,304.0,12.4,21.4,5.0,9.6,3.5,57.6,17.9,11.6,39.9057067079,-104.907870349,8001,8001
CO,Thornton,877290,8001009001,0877290-08001009001,738.0,25.3,17.4,2.6,11.6,2.2,53.4,22.9,17.0,39.8531204066,-104.981095483,8001,8001
CO,Thornton,877290,8001009307,0877290-08001009307,569.0,21.0,32.7,7.3,10.3,7.8,62.0,20.8,13.9,39.8519408637,-104.990926779,8001,8001
CO,Thornton,877290,8001015000,0877290-08001015000,300.0,16.2,48.1,11.9,11.1,14.1,70.7,21.9,14.0,39.8490613977,-104.943692984,8001,8001
CO,Thornton,877290,8001061200,0877290-08001061200,992.0,10.9,15.3,3.5,9.0,2.0,54.0,16.0,10.6,39.9919781726,-104.955622439,8001,8001
CO,Westminster,883835,8001009502,0883835-08001009502,853.0,22.9,26.6,6.0,9.4,5.8,59.5,18.0,12.5,39.8246136317,-105.020363835,8001,8001
CO,Westminster,883835,8001009606,0883835-08001009606,595.0,28.1,20.3,3.3,9.3,3.6,52.9,20.7,14.1,39.8249776641,-105.029023071,8001,8001
CO,Westminster,883835,8001060000,0883835-08001060000,481.0,7.9,22.8,6.2,9.2,3.7,60.8,13.5,9.6,39.962280889,-104.997122543,8001,8001
CO,Westminster,883835,8059010208,0883835-08059010208,470.0,13.1,22.8,5.5,9.9,3.7,54.6,18.4,12.7,39.8253418958,-105.057672338,8059,8059
FL,Boca Raton,1207300,12099007002,1207300-12099007002,287.0,15.3,19.8,4.3,7.1,3.1,68.0,14.7,11.1,26.3995746144,-80.1070573437,12099,12099
FL,Boca Raton,1207300,12099007616,1207300-12099007616,600.0,12.7,33.7,9.8,7.5,7.7,76.5,12.7,10.0,26.3298751305,-80.124232152,12099,12099
FL,Boynton Beach,1207875,12099005411,1207875-12099005411,109.0,9.3,50.3,17.6,6.5,14.4,87.0,7.2,6.5,26.5052947039,-80.055000075,12099,12099
FL,Boynton Beach,1207875,12099005810,1207875-12099005810,240.0,17.6,56.2,15.6,8.0,19.1,84.5,15.5,11.2,26.5444904806,-80.1118536895,12099,12099
FL,Boynton Beach,1207875,12099005812,1207875-12099005812,833.0,24.7,21.0,3.3,8.9,3.1,66.8,23.0,15.9,26.5429644632,-80.0928589663,12099,12099
FL,Boynton Beach,1207875,12099006602,1207875-12099006602,601.0,12.0,30.9,8.2,7.4,6.5,74.8,13.6,10.3,26.4917797667,-80.0784266196,12099,12099
FL,Cape Coral,1210275,12071010305,1210275-12071010305,337.0,25.3,26.2,5.0,8.0,4.6,69.2,17.6,14.1,26.6407098073,-81.9238715844,12071,12071
FL,Clearwater,1212875,12103025505,1212875-12103025505,93.0,29.2,36.2,5.7,9.8,9.2,70.4,27.3,19.5,27.9389203621,-82.7936804138,12103,12103
FL,Clearwater,1212875,12103025506,1212875-12103025506,92.0,17.4,43.5,11.1,8.4,11.0,78.1,18.0,12.8,27.9363318085,-82.7776193617,12103,12103
FL,Clearwater,1212875,12103026820,1212875-12103026820,519.0,16.7,40.3,10.7,8.3,9.6,77.1,17.0,12.2,28.0375161141,-82.7330076636,12103,12103
FL,Clearwater,1212875,12103026911,1212875-12103026911,686.0,14.8,31.9,8.0,8.1,6.5,73.2,17.1,12.1,28.0018496157,-82.7483614474,12103,12103
FL,Clearwater,1212875,12103026912,1212875-12103026912,983.0,24.1,29.1,5.3,8.7,5.8,68.9,23.5,15.9,27.9941291812,-82.7327388187,12103,12103
FL,Coral Springs,1214400,12011020205,1214400-12011020205,905.0,21.9,20.8,3.3,8.4,2.7,66.8,17.5,13.7,26.2728861003,-80.2098661916,12011,12011
FL,Davie,1216475,12011070401,1216475-12011070401,288.0,16.9,30.5,6.8,8.0,6.0,71.9,15.4,12.0,26.0593693104,-80.2956942658,12011,12011
FL,Davie,1216475,12011070402,1216475-12011070402,479.0,14.1,30.1,7.2,7.8,5.7,73.0,12.9,10.9,26.053209233,-80.2931709154,12011,12011
FL,Davie,1216475,12011110327,1216475-12011110327,660.0,16.7,26.7,5.5,7.6,4.3,71.9,11.9,10.7,26.0326796271,-80.3486271994,12011,12011
FL,Davie,1216475,12011110600,1216475-12011110600,525.0,26.7,21.5,2.9,8.5,3.2,64.1,21.4,15.9,26.0834289904,-80.1937858231,12011,12011
FL,Fort Lauderdale,1224000,12011041100,1224000-12011041100,183.0,31.2,51.9,6.5,12.0,10.1,81.1,25.7,18.1,26.1391974009,-80.1762047761,12011,12011
FL,Fort Lauderdale,1224000,12011050207,1224000-12011050207,799.0,23.3,35.3,6.1,8.6,7.6,71.8,19.8,15.0,26.1855958192,-80.1636388608,12011,12011
FL,Fort Lauderdale,1224000,12011050208,1224000-12011050208,742.0,33.8,34.3,3.8,9.8,5.9,68.7,29.6,19.4,26.1952127803,-80.1726837761,12011,12011
FL,Fort Lauderdale,1224000,12011050308,1224000-12011050308,60.0,29.6,46.8,4.8,12.3,7.5,79.7,26.5,18.5,26.1518536516,-80.1898806182,12011,12011
FL,Gainesville,1225175,12001001400,1225175-12001001400,974.0,31.7,30.7,2.2,8.7,3.7,66.0,28.3,17.6,29.6800944243,-82.2593787515,12001,12001
FL,Gainesville,1225175,12001001701,1225175-12001001701,88.0,17.9,32.6,6.6,8.6,6.5,69.7,16.3,14.1,29.6780699257,-82.3917881776,12001,12001
FL,Gainesville,1225175,12001001802,1225175-12001001802,363.0,19.6,44.0,9.5,9.2,11.4,72.8,22.1,16.1,29.7522599869,-82.3769946091,12001,12001
FL,Gainesville,1225175,12001001908,1225175-12001001908,145.0,19.5,33.6,7.4,9.1,6.7,70.8,19.6,14.6,29.7252398498,-82.3421337525,12001,12001
FL,Gainesville,1225175,12001002219,1225175-12001002219,155.0,23.8,26.9,3.5,8.0,3.9,66.6,20.5,15.1,29.6269873751,-82.4085268214,12001,12001
FL,Gainesville,1225175,12001110800,1225175-12001110800,565.0,14.7,58.4,19.8,6.2,18.2,87.3,5.1,6.2,29.614356733,-82.3564759902,12001,12001
FL,Hollywood,1232000,12011080402,1232000-12011080402,559.0,21.6,35.6,6.8,8.7,8.1,71.2,21.5,15.7,26.0504339767,-80.1870855903,12011,12011
FL,Jacksonville,1235000,12031013906,1235000-12031013906,353.0,13.0,29.3,7.5,8.1,5.7,73.4,13.9,10.8,30.3612650882,-81.4067666792,12031,12031
FL,Lakeland,1238250,12105011834,1238250-12105011834,896.0,18.1,21.9,3.9,8.4,3.0,66.6,18.5,14.0,28.0021632165,-81.916766141,12105,12105
FL,Lakeland,1238250,12105011836,1238250-12105011836,664.0,17.2,32.8,6.9,8.1,6.0,72.3,17.5,12.5,27.9799518742,-81.9532624717,12105,12105
FL,Lakeland,1238250,12105011902,1238250-12105011902,62.0,23.0,25.6,4.5,8.1,4.6,66.5,23.1,15.5,27.9874061131,-82.0119268219,12105,12105
FL,Lakeland,1238250,12105011911,1238250-12105011911,707.0,23.3,24.1,4.0,8.4,3.4,66.1,22.0,14.8,27.9680791267,-82.0353362835,12105,12105
FL,Lakeland,1238250,12105012001,1238250-12105012001,732.0,32.6,25.0,2.8,10.1,2.9,68.9,22.7,18.3,28.0613609152,-82.0141259722,12105,12105
FL,Lakeland,1238250,12105012113,1238250-12105012113,167.0,24.6,28.7,4.5,8.6,4.1,70.1,20.4,14.5,28.1170784045,-81.9758967318,12105,12105
FL,Largo,1239425,12103024505,1239425-12103024505,126.0,24.3,21.6,3.4,8.4,3.0,65.3,24.3,15.5,27.8909633904,-82.7276716699,12103,12103
FL,Largo,1239425,12103024507,1239425-12103024507,259.0,15.8,32.3,7.9,8.7,6.6,73.7,17.6,13.3,27.9297974825,-82.7230582963,12103,12103
FL,Largo,1239425,12103024510,1239425-12103024510,165.0,33.1,32.4,3.3,10.4,5.2,67.6,35.4,21.5,27.9016204415,-82.7074082526,12103,12103
FL,Largo,1239425,12103025205,1239425-12103025205,98.0,12.8,39.0,10.8,8.6,8.5,78.3,15.4,11.7,27.8797384488,-82.8365067731,12103,12103
FL,Largo,1239425,12103025401,1239425-12103025401,493.0,14.7,38.2,10.1,7.8,9.2,76.4,15.3,11.4,27.9346897018,-82.749826246,12103,12103
FL,Largo,1239425,12103025411,1239425-12103025411,991.0,23.4,30.0,5.1,9.6,5.9,67.9,28.1,18.6,27.8985742413,-82.755354545,12103,12103
FL,Largo,1239425,12103025412,1239425-12103025412,268.0,16.6,46.5,13.0,8.4,12.9,80.3,15.8,11.6,27.9339691578,-82.740546138,12103,12103
FL,Largo,1239425,12103025501,1239425-12103025501,111.0,16.8,36.1,8.7,8.6,7.7,74.6,18.5,13.2,27.9407896416,-82.77147582,12103,12103
FL,Melbourne,1243975,12009064128,1243975-12009064128,92.0,15.2,21.1,4.3,8.4,2.8,68.0,16.6,13.2,28.1913395778,-80.6744122811,12009,12009
FL,Melbourne,1243975,12009065021,1243975-12009065021,510.0,20.5,26.7,5.6,8.7,5.0,69.7,18.6,14.4,28.0408742014,-80.6406041369,12009,12009
FL,Miami,1245000,12086001002,1245000-12086001002,364.0,33.2,28.5,3.4,9.9,4.3,74.4,23.0,17.5,25.8473287691,-80.2087419249,12086,12086
FL,Miami,1245000,12086001004,1245000-12086001004,347.0,35.4,38.3,3.9,11.4,6.8,76.4,30.6,21.5,25.8430388965,-80.2080496195,12086,12086
FL,Miami,1245000,12086001502,1245000-12086001502,71.0,33.7,51.6,5.0,12.5,10.7,80.8,36.0,23.0,25.8353249001,-80.2252428567,12086,12086
FL,Miami,1245000,12086001703,1245000-12086001703,458.0,49.1,26.4,3.2,8.3,5.7,66.8,25.3,20.3,25.8085982108,-80.2504483338,12086,12086
FL,Miami,1245000,12086001801,1245000-12086001801,592.0,32.1,44.7,5.5,10.9,9.1,79.8,27.3,19.1,25.8266157389,-80.2265018643,12086,12086
FL,Miami,1245000,12086003707,1245000-12086003707,826.0,25.1,26.3,5.0,6.8,5.3,71.7,13.9,11.7,25.7780101376,-80.1900820184,12086,12086
FL,Miami,1245000,12086006709,1245000-12086006709,408.0,18.9,13.8,2.4,6.2,1.7,64.9,12.6,10.3,25.7677925769,-80.189189868,12086,12086
FL,Miami Beach,1245025,12086981000,1245025-12086981000,59.0,22.7,8.7,1.0,6.3,1.0,60.1,16.2,13.9,25.7724080217,-80.1495864114,12086,12086
FL,Miami Gardens,1245060,12086000414,1245060-12086000414,650.0,29.2,44.7,5.7,11.3,8.6,80.9,26.5,18.2,25.9229318096,-80.222374195,12086,12086
FL,Orlando,1253000,12095012000,1253000-12095012000,244.0,33.9,38.8,3.1,12.4,5.3,74.8,30.4,21.4,28.566986279,-81.4409873034,12095,12095
FL,Orlando,1253000,12095012500,1253000-12095012500,830.0,16.3,33.5,8.0,8.2,7.4,72.4,16.8,12.5,28.5911591069,-81.405335882,12095,12095
FL,Orlando,1253000,12095013201,1253000-12095013201,291.0,37.9,33.9,5.4,8.0,7.4,70.7,17.8,15.0,28.5491969794,-81.3082713953,12095,12095
FL,Orlando,1253000,12095013402,1253000-12095013402,72.0,33.3,39.4,7.5,8.4,9.7,73.2,18.9,14.3,28.5325094949,-81.2919655993,12095,12095
FL,Orlando,1253000,12095013508,1253000-12095013508,656.0,37.9,25.7,3.2,8.6,4.2,65.4,21.6,17.6,28.5035769219,-81.3049023106,12095,12095
FL,Orlando,1253000,12095013511,1253000-12095013511,108.0,44.6,25.9,3.0,9.0,4.4,66.3,20.5,18.7,28.4890944085,-81.2930226185,12095,12095
FL,Orlando,1253000,12095013607,1253000-12095013607,713.0,25.6,27.9,5.2,8.1,4.8,70.3,16.3,13.0,28.4933488565,-81.3122833161,12095,12095
FL,Orlando,1253000,12095013803,1253000-12095013803,241.0,16.8,30.0,7.0,7.9,5.6,72.1,14.7,11.7,28.5111361416,-81.3328657974,12095,12095
FL,Orlando,1253000,12095014000,1253000-12095014000,84.0,12.2,36.5,10.0,7.5,8.0,76.3,12.1,9.8,28.4976443027,-81.3625088432,12095,12095
FL,Orlando,1253000,12095014400,1253000-12095014400,170.0,19.6,31.3,6.3,8.8,6.7,69.3,21.0,14.8,28.5087102303,-81.3831370518,12095,12095
FL,Orlando,1253000,12095014811,1253000-12095014811,317.0,17.4,19.0,3.5,7.7,2.7,65.3,15.1,12.1,28.4693998078,-81.4776479536,12095,12095
FL,Orlando,1253000,12095014813,1253000-12095014813,631.0,17.1,23.2,4.2,7.3,3.4,69.0,13.6,11.1,28.4580483891,-81.4780134851,12095,12095
FL,Orlando,1253000,12095015300,1253000-12095015300,788.0,16.4,28.9,6.3,8.3,5.6,69.9,17.1,12.9,28.5858926287,-81.3848910259,12095,12095
FL,Orlando,1253000,12095015402,1253000-12095015402,165.0,12.6,55.6,19.2,7.7,15.0,89.0,6.2,7.4,28.587721275,-81.3749000416,12095,12095
FL,Orlando,1253000,12095016709,1253000-12095016709,160.0,35.6,32.4,4.8,8.3,6.4,69.9,18.5,15.4,28.5059294491,-81.2854650115,12095,12095
FL,Orlando,1253000,12095016732,1253000-12095016732,276.0,22.7,16.1,2.4,8.1,1.7,65.3,13.8,12.8,28.481465812,-81.2341616115,12095,12095
FL,Palm Bay,1254000,12009065231,1254000-12009065231,274.0,20.4,25.0,3.9,8.9,3.3,69.2,19.9,14.7,27.9768453232,-80.6196389984,12009,12009
FL,Palm Bay,1254000,12009065236,1254000-12009065236,119.0,16.3,36.4,7.0,8.7,6.5,75.1,18.0,13.1,27.9137512171,-80.6190433711,12009,12009
FL,Pembroke Pines,1255775,12011110404,1255775-12011110404,256.0,30.9,31.6,4.0,9.7,4.9,73.0,19.1,15.5,25.9942768809,-80.2265295292,12011,12011
FL,Plantation,1257425,12011042900,1257425-12011042900,515.0,29.8,27.4,3.1,10.2,4.0,68.4,24.7,18.4,26.1163487844,-80.2008150091,12011,12011
FL,Plantation,1257425,12011061100,1257425-12011061100,237.0,37.2,32.7,4.7,8.8,7.3,67.4,24.5,18.1,26.1033121227,-80.2154264224,12011,12011
FL,Port St. Lucie,1258715,12111382010,1258715-12111382010,548.0,23.7,37.6,7.5,8.9,9.3,70.5,23.7,15.7,27.2919705805,-80.3130043756,12111,12111
FL,St. Petersburg,1263000,12103024804,1263000-12103024804,83.0,25.2,37.3,7.9,9.1,9.3,72.0,24.9,16.8,27.8092217896,-82.7214277867,12103,12103
FL,Sunrise,1269700,12011060122,1269700-12011060122,546.0,25.7,19.8,2.9,7.5,2.5,66.9,13.9,12.3,26.1287826206,-80.3168781443,12011,12011
FL,Sunrise,1269700,12011060125,1269700-12011060125,598.0,25.3,31.1,4.7,9.3,4.7,72.7,18.8,14.5,26.1691763504,-80.2533624004,12011,12011
FL,Sunrise,1269700,12011070321,1269700-12011070321,179.0,23.3,34.7,8.7,6.7,7.1,76.8,8.9,8.9,26.123367517,-80.3620514634,12011,12011
FL,Tallahassee,1270600,12073002206,1270600-12073002206,114.0,17.5,28.8,4.4,8.5,3.9,72.8,18.4,12.4,30.501453222,-84.3416900139,12073,12073
FL,Tallahassee,1270600,12073002207,1270600-12073002207,563.0,24.2,13.1,1.0,11.3,0.9,69.1,17.0,18.4,30.4868071334,-84.3182886109,12073,12073
FL,Tallahassee,1270600,12073002208,1270600-12073002208,696.0,20.1,22.8,3.6,9.6,3.0,70.2,18.6,14.5,30.5029527564,-84.3370789761,12073,12073
FL,Tallahassee,1270600,12073002416,1270600-12073002416,874.0,9.1,27.7,7.8,7.2,4.6,74.4,9.3,8.3,30.5239123503,-84.25964761,12073,12073
FL,Tallahassee,1270600,12073002508,1270600-12073002508,426.0,12.9,32.9,7.5,8.0,6.1,74.3,15.5,11.1,30.512948042,-84.1642585976,12073,12073
FL,Tallahassee,1270600,12073002511,1270600-12073002511,151.0,14.1,23.8,5.5,8.4,3.9,69.3,15.0,12.1,30.4882962718,-84.2039112482,12073,12073
FL,Tallahassee,1270600,12073002512,1270600-12073002512,439.0,13.8,26.0,5.8,7.9,4.3,71.1,15.2,11.1,30.473357374,-84.1709230667,12073,12073
FL,Tallahassee,1270600,12073002603,1270600-12073002603,545.0,25.4,21.8,2.0,11.3,1.7,71.4,23.5,17.4,30.3729812377,-84.2791798745,12073,12073
FL,Tampa,1271000,12057004000,1271000-12057004000,140.0,28.7,67.2,11.5,10.6,20.9,84.7,23.9,16.5,27.9573630558,-82.453325522,12057,12057
FL,Tampa,1271000,12057010809,1271000-12057010809,214.0,20.0,10.2,0.9,9.9,0.8,63.7,15.9,19.5,28.0551295866,-82.4004574486,12057,12057
FL,Tampa,1271000,12057011010,1271000-12057011010,103.0,20.0,24.5,3.5,9.0,3.3,69.5,19.0,15.3,28.0882309351,-82.4088602168,12057,12057
FL,Tampa,1271000,12057011014,1271000-12057011014,740.0,17.8,17.3,2.6,8.3,1.7,67.9,14.2,12.6,28.1523553387,-82.3576128624,12057,12057
FL,Tampa,1271000,12057011205,1271000-12057011205,178.0,15.7,34.4,7.8,8.1,6.8,74.3,17.1,12.7,28.0542017144,-82.4750587801,12057,12057
FL,Tampa,1271000,12057011304,1271000-12057011304,153.0,13.3,27.4,6.9,8.2,4.5,73.7,12.7,11.2,28.0416674886,-82.4819608528,12057,12057
FL,Tampa,1271000,12057011802,1271000-12057011802,142.0,36.4,37.9,6.7,7.6,8.7,73.1,18.3,14.4,27.9978152713,-82.5125647147,12057,12057
FL,Tampa,1271000,12057011902,1271000-12057011902,413.0,31.6,32.1,5.0,8.3,6.0,71.4,19.7,15.7,28.0193022756,-82.4853624145,12057,12057
FL,Tampa,1271000,12057011904,1271000-12057011904,662.0,31.6,24.2,2.9,8.0,3.1,68.5,17.9,14.9,27.9979664671,-82.5031111914,12057,12057
FL,Tampa,1271000,12057011905,1271000-12057011905,574.0,39.4,33.7,5.2,8.2,7.0,70.5,21.6,16.5,28.0009554966,-82.485814579,12057,12057
FL,Tampa,1271000,12057012001,1271000-12057012001,703.0,27.6,54.0,7.7,10.9,10.1,83.1,22.6,15.1,27.9853305598,-82.4068061493,12057,12057
FL,Tampa,1271000,12057012002,1271000-12057012002,398.0,31.6,45.4,6.7,10.4,9.9,75.9,27.9,18.6,27.9686398132,-82.3910135418,12057,12057
FL,West Palm Beach,1276600,12099001002,1276600-12099001002,863.0,28.0,33.9,4.6,11.3,5.4,77.2,23.1,17.1,26.7687409514,-80.1195891726,12099,12099
FL,West Palm Beach,1276600,12099001402,1276600-12099001402,575.0,32.4,37.3,4.2,11.9,6.3,76.4,29.8,20.6,26.7590264523,-80.0742711545,12099,12099
FL,West Palm Beach,1276600,12099007831,1276600-12099007831,596.0,10.6,38.0,11.0,7.3,8.8,79.6,11.7,9.1,26.7763797815,-80.1412123863,12099,12099
GA,Albany,1301052,13095010403,1301052-13095010403,282.0,19.6,33.3,4.2,10.7,3.8,77.4,18.2,13.4,31.5498626304,-84.2457570121,13095,13095
GA,Albany,1301052,13095010900,1301052-13095010900,329.0,20.6,42.6,4.8,10.8,5.4,80.6,20.0,13.6,31.5379985072,-84.1289510757,13095,13095
GA,Atlanta,1304000,13089023700,1304000-13089023700,282.0,24.5,28.4,3.1,11.7,2.9,76.8,19.7,15.5,33.7441798699,-84.3157960109,13089,13089
GA,Atlanta,1304000,13121002600,1304000-13121002600,914.0,30.1,40.1,4.0,12.0,6.2,75.3,27.4,18.4,33.758795813,-84.4026295755,13121,13121
GA,Atlanta,1304000,13121004800,1304000-13121004800,936.0,26.9,41.1,5.4,11.9,7.3,77.0,22.2,16.7,33.7443312036,-84.38393749,13121,13121
GA,Atlanta,1304000,13121008101,1304000-13121008101,977.0,24.6,51.6,7.9,10.9,10.0,82.4,19.3,12.9,33.7359327006,-84.4538950609,13121,13121
