State,StateAbbr,County,CountyFIPS,Asthma,AFHeartDisease,COPD,Depression,HeartFailure,Hypertension,CoronaryArtery,Psychotic,Stroke,TotalCost
Florida ,FL,St. Lucie ,12111,20769.970965,27337.179792,26410.199188,22984.742027,30705.852668,15186.868123,19078.139504,27312.241556,32245.363137,464711.5310582001
Florida ,FL,Leon ,12073,21447.658316,23469.911547,25236.542481,20991.552002,27700.733957,14991.420571,19433.347102,22320.661201,32305.027822,449365.3020105
Florida ,FL,Hillsborough ,12057,23459.395685,29178.480359,29114.383515,24181.124173,34105.598158,16398.665723,21654.755886,28316.306131,33592.701969,508449.64074959996
Georgia ,GA,Dougherty ,13095,20608.177385,26637.867558,23294.491648,17743.230625,30848.815785,13137.4073,21449.303873,17529.303286,30582.647825,422178.576073
Georgia ,GA,DeKalb ,13089,20311.194314,24664.936986,29095.689212,21027.891196,32081.067068,15001.212208,22135.647971,18581.258553,34632.627182,447471.759156
Georgia ,GA,Fulton ,13121,22495.456353,25374.687871,29602.836476,21772.23031,32279.484419,15128.519135,20835.595079,21293.114592,31961.249946,467921.9095165
Georgia ,GA,Richmond ,13245,20062.921408,28425.764052,25288.515166,21568.574962,31754.551658,15164.499576,21804.780297,18338.670048,36616.986703,475220.866808
Georgia ,GA,Bibb ,13021,22652.297918,27523.083739,27446.060331,20031.703273,30683.36387,14557.023005,21223.411776,19176.356645,31573.548573,451187.3148355
Georgia ,GA,Jones ,13169,21339.43457,25241.359498,21534.366112,17517.47794,27988.442355,12730.916831,17800.349153,11542.231039,31289.146618,365287.96886799997
Georgia ,GA,Chatham ,13051,20546.093345,24569.253449,24512.146518,21238.545547,31091.751271,13731.79882,19022.541033,20249.732795,31770.586077,431770.8848034
Georgia ,GA,Houston ,13153,20133.032384,24213.995978,24261.04747,19676.409856,27536.14192,13208.831741,19018.911472,19618.359381,31757.187827,413921.4490924
Georgia ,GA,Peach ,13225,20963.09151,23813.016356,21634.32,19644.615725,28037.920443,13160.679213,19435.697888,21127.517468,37050.19832,402257.349199
Hawaii ,HI,Honolulu ,15003,16288.059267,20139.623562,19497.119663,17114.479582,25979.219565,9743.8775805,16340.128257,17665.338267,21410.292397,342036.0187327
Idaho ,ID,Ada ,16001,19280.939749,19484.380579,20634.140506,15222.030518,23063.12217,12851.154859,16617.097227,15920.768733,27094.588709,360557.31414229993
Illinois ,IL,Cook ,17031,24566.8071,29508.39625,29996.591612,25585.07909,31227.098889,16179.699547,22900.074311,26518.92074,37527.500167,508205.552917
Illinois ,IL,DuPage ,17043,21746.069928,25206.989998,27134.337248,23206.21038,29496.659599,14448.260937,19074.031197,26115.73658,33783.601786,456624.0553826
Illinois ,IL,McLean ,17113,17527.014863,18736.757073,19768.45589,16271.110929,23159.672179,11564.096956,14790.492034,18984.727627,21251.658935,339392.408635
Illinois ,IL,Macon ,17115,20896.857504,23542.818633,23462.639966,19488.152419,24691.305541,13230.947433,16359.367499,18094.217806,31268.53692,411548.08302699996
Illinois ,IL,Kane ,17089,22241.255903,26021.818451,28096.626376,23915.240602,31071.307655,15047.766862,20606.604253,26053.149192,34398.175689,598491.5583450001
Illinois ,IL,Will ,17197,24298.239243,28027.507432,28943.086331,25164.09176,31482.028935,15357.359238,21221.538555,28042.703127,37160.654481,492604.5475528
Illinois ,IL,Peoria ,17143,20115.417578,20554.705654,21520.948416,18016.565209,25259.06679,12555.58904,17315.815086,19569.755392,25340.720046,391861.97179200005
Illinois ,IL,Winnebago ,17201,23761.546499,22839.80786,24333.568177,20587.273758,25631.158016,14220.778798,19054.834564,18892.210562,31237.062022,432793.33863760007
Illinois ,IL,Sangamon ,17167,21236.935057,23195.543156,22935.71215,18396.445762,25745.007852,14032.098375,17460.148686,18143.610176,31514.789337,424961.42708299996
Illinois ,IL,Lake ,17097,21728.876732,24493.014813,26904.705359,22441.936166,29018.705554,14671.545861,19870.709781,24725.230229,30408.095726,468590.897875
Indiana ,IN,Monroe ,18105,16334.63165,18293.599812,21053.544392,16734.683672,24445.251149,12274.411267,16327.316291,15862.526468,25896.985373,342071.8707061
Indiana ,IN,Hamilton ,18057,18495.46468,22586.749312,24458.29815,18941.721341,26305.499795,13142.067391,16947.793233,20472.371399,28163.818211,399536.1407771
Indiana ,IN,Vanderburgh ,18163,23023.590983,25413.057968,25459.392282,20321.257494,29292.433426,14410.252679,20619.032538,18435.179487,31329.601119,436323.4935277001
Indiana ,IN,Allen ,18003,21144.644575,24997.274136,25026.295662,18957.793214,28375.257229,13797.88996,18153.489248,17587.813058,30996.904398,416618.268033
Indiana ,IN,Lake ,18089,25690.848222,31262.218765,30135.38698,27048.038994,33266.454188,17093.033963,23871.656583,27623.907921,39199.557662,542225.6803117
New York ,NY,New York ,36061,20922.047198,26173.786661,26509.528442,21898.22609,28957.013222,15982.742304,19155.970709,22371.817026,30994.654691,442088.0268581001
Indiana ,IN,Marion ,18097,22896.529094,27441.853278,25167.403912,21690.782608,29601.101923,15746.187742,21134.834383,20473.611944,34962.815653,466374.4654021
Indiana ,IN,Tippecanoe ,18157,22169.1987,24700.547588,25920.897703,20730.169979,28613.406513,13996.636396,19670.874778,21946.449193,28041.038015,477502.67370379996
Indiana ,IN,Delaware ,18035,21978.16431,25894.178676,22467.758499,20712.660954,27446.488954,13933.319225,19512.659636,24414.703457,31609.220854,428267.3609524
Indiana ,IN,St. Joseph ,18141,20672.432361,19935.590081,23199.982965,18728.135861,25080.100018,13358.273844,17317.08799,18192.802053,29258.514882,406839.6668439
Iowa ,IA,Linn ,19113,19639.677428,19731.790516,20326.406607,14744.060865,23754.073553,12139.410407,16575.191368,13791.996409,28521.407018,366052.86417929997
Iowa ,IA,Polk ,19153,17802.741587,18745.085796,18975.309952,14275.339011,22328.509483,11479.976472,14642.664964,13365.598485,22523.715259,322357.30113850004
Iowa ,IA,Johnson ,19103,17407.600208,18275.30936,21549.953559,14299.970169,22757.107488,11684.560658,15971.964492,13719.976454,23036.47416,330178.87031389994
Iowa ,IA,Woodbury ,19193,18983.026957,21471.313238,20592.732441,15695.289041,24001.961345,12944.130511,17081.999153,11890.674784,25759.345499,355299.58004239993
Iowa ,IA,Black Hawk ,19013,18992.050949,22009.521309,22537.684596,15435.321517,24087.246018,13290.205074,16607.400641,12850.509532,25658.463319,376661.1710942
Kansas ,KS,Wyandotte ,20209,28821.381781,29447.017239,28680.09965,25449.726485,32929.87234,16846.588492,23254.841151,23231.976345,39833.013146,509643.657441
Kansas ,KS,Douglas ,20045,17527.977722,19264.193942,20235.729707,16357.147493,25481.148548,13002.21626,15974.014537,16804.83026,23894.394379,380901.809738
Kansas ,KS,Johnson ,20091,21116.540721,24446.908713,26566.288829,20793.733456,29571.51676,14695.389818,17735.420952,19832.106028,30735.015408,519197.71325910004
Kansas ,KS,Shawnee ,20177,21605.843333,24393.219636,23633.268938,18524.471118,28374.514289,13851.962987,18741.861512,20218.987282,32543.343526,433111.94754799997
Kansas ,KS,Sedgwick ,20173,21902.962697,23647.507198,23453.355338,19278.337167,26033.840246,14125.344342,17975.110893,17855.80668,29734.203117,408740.70900529996
Kentucky ,KY,Fayette ,21067,19251.800344,23928.679556,24373.126182,18838.390117,29245.392461,13688.388327,19912.233049,19286.729585,28285.067753,406063.1274795
Kentucky ,KY,Jefferson ,21111,21896.82898,24139.003133,25430.724132,19949.315113,28152.038776,14061.87262,19760.355102,20588.167873,31053.228786,434746.6034695999
Louisiana ,LA,East Baton Rouge ,22033,24268.917384,25549.730578,28323.075662,22477.848436,31481.676624,15857.073556,20882.979042,28873.622319,32990.689542,494330.5361250001
Louisiana ,LA,Lafayette ,22055,24087.872745,26389.391866,29567.649426,23877.698793,30256.74838,14935.615655,18149.613578,28050.775167,31741.191276,484842.59506089997
Louisiana ,LA,Calcasieu ,22019,23597.037823,24349.200451,26541.938818,22660.938406,29660.697207,14210.301646,19057.855091,25855.071912,32889.632173,461022.85890399996
Louisiana ,LA,Orleans ,22071,20649.903276,27343.85175,27196.658082,22626.569003,30398.594829,15392.603468,22920.178071,25557.063548,37125.324298,464425.50984530005
Louisiana ,LA,Bossier ,22015,25804.136742,30176.92656,28999.285432,26418.729025,33956.339098,16434.832081,21254.033955,28831.206362,33631.882289,493373.9628380999
Louisiana ,LA,Caddo ,22017,26016.933156,29314.574206,31245.240408,25818.588276,34209.605874,16852.17054,22954.968446,27427.373237,38729.241277,522010.8934477001
Maryland ,MD,Baltimore City ,24510,24970.525663,33989.473629,29864.144676,24576.95238,34363.556899,16804.670219,26169.994717,20921.719211,38623.464845,517860.10752270004
Massachusetts ,MA,Suffolk ,25025,21803.809957,27894.336719,25819.763377,18817.494902,29561.12044,14678.646861,21912.035995,17915.69071,32181.053501,433702.27681839996
Michigan ,MI,Wayne ,26163,25792.978218,32738.891453,29085.559995,25089.886739,30795.78396,16993.022002,22985.66208,23552.44717,39944.46171,522474.260329
Michigan ,MI,Kent ,26081,20488.046986,21937.916584,23704.604776,17539.298737,26437.029949,13800.289318,18563.64028,16311.567583,30184.730849,404829.008304
Michigan ,MI,Kalamazoo ,26077,19837.142883,19898.173446,21217.596392,16474.704412,24110.965003,12825.870253,16891.420217,16631.758262,27047.772244,371597.5768495
Michigan ,MI,Ingham ,26065,20741.991468,25272.299907,24100.485753,18893.480851,27728.117787,14008.161124,19296.671833,19401.476393,32102.449224,424988.8577827
Michigan ,MI,Oakland ,26125,23007.632395,27550.698104,28169.612002,24403.299697,29762.096014,15853.394887,19896.337251,25912.129893,34125.405787,485481.17370499996
Michigan ,MI,Macomb ,26099,23515.914985,28062.219267,27891.433581,23343.950443,29650.172671,15632.220117,19885.77846,25759.952494,34603.101018,482210.7903319
Minnesota ,MN,St. Louis ,27137,21407.89309,21474.072565,22432.942718,15167.640648,23552.573731,14645.087143,17331.457725,14736.04979,25815.52673,363174.11302029993
Minnesota ,MN,Olmsted ,27109,17700.750884,20432.247064,23905.2353,16796.776949,23787.707381,14399.120416,16254.495309,14899.103916,25206.601921,391404.5548128
Mississippi ,MS,Harrison ,28047,24567.594345,27980.490439,28027.413737,22367.889043,33273.764587,15974.732198,21401.12723,23752.909878,35936.827909,490238.86555999995
Mississippi ,MS,Hinds ,28049,24302.530718,27475.872432,31273.49438,23942.601021,33998.743413,15919.497661,23024.19492,26541.305462,38571.373065,521601.718486
Mississippi ,MS,Madison ,28089,22241.343619,22823.928479,25611.839524,20237.18714,29183.667828,14439.076514,18126.505976,22156.96937,29816.542495,436768.6499354
Missouri ,MO,Boone ,29019,22367.954335,22752.280828,24564.767553,17537.825778,27627.805275,14163.819243,18270.452839,15805.84132,29710.573129,401012.6682688
Missouri ,MO,Jackson ,29095,23838.147205,27509.453713,27981.726477,22348.693462,32563.071153,16212.934833,21154.456403,19259.474986,37356.678885,470859.9037915
Missouri ,MO,Cass ,29037,23080.940021,25710.113617,26767.871245,22475.683146,30094.767416,15406.619291,19282.065895,21212.789565,34475.295765,472257.10729099996
Missouri ,MO,Clay ,29047,20392.34672,23781.543343,23803.154184,20318.020626,28427.0085,14309.598377,17548.793415,20061.554945,28611.254236,426056.0347887
Missouri ,MO,Platte ,29165,19925.409848,24975.224427,23714.259835,21091.854764,28092.985051,14371.252713,17404.354205,17285.199765,30405.720833,406065.9175336
Missouri ,MO,St. Charles ,29183,21250.365324,23648.80841,23706.927493,18913.194407,27156.778697,14039.833586,18932.185691,19674.226528,29823.18653,459176.1464728
Missouri ,MO,Buchanan ,29021,21887.89057,23302.667515,21633.78204,18897.598747,27587.318834,13679.506468,18094.323814,15666.033248,30650.01498,437233.7571692
Missouri ,MO,Greene ,29077,20560.438165,21381.415021,21391.089086,16412.124727,25126.280152,13146.709203,17970.561183,16004.625176,27776.029204,368121.0696848
Montana ,MT,Yellowstone ,30111,19554.868796,21408.594068,20802.42793,15349.033141,22875.349584,13437.948024,16406.931192,15209.136271,28013.813747,388275.3503977
Montana ,MT,Missoula ,30063,16651.921046,18122.386138,19985.674834,14513.480548,21871.859716,12702.983167,14986.657476,11604.185256,20140.382262,327098.20069140004
Nebraska ,NE,Lancaster ,31109,18802.850598,21372.1261,22645.963752,17907.225452,24570.84963,13450.304315,17230.175358,17008.283211,27298.099419,402345.6190371
Nebraska ,NE,Douglas ,31055,21937.649423,23328.81253,23326.656773,18806.461353,27349.529525,14339.774713,18398.11686,16194.451953,30870.707268,416488.5648131
Nevada ,NV,Clark ,32003,23819.309701,31671.514228,31369.041276,25836.263593,34666.50317,16682.891538,22140.663356,30222.275378,39607.884077,525422.3289977
Nevada ,NV,Washoe ,32031,18529.427832,20566.429118,22286.36818,17595.292694,26191.296691,12722.691984,17172.155904,16531.332897,26262.19136,374897.15683299996
New Jersey ,NJ,Hudson ,34017,22889.163601,30574.794079,28584.11398,25493.122898,30646.504892,15295.627765,20200.157265,20792.24093,34448.845939,471599.1068339
New Jersey ,NJ,Essex ,34013,24850.954109,29697.591171,33968.098064,27142.35402,33022.002487,16388.028985,23017.150148,24640.496119,39705.536389,524982.501068
New Mexico ,NM,Bernalillo ,35001,16280.055801,22103.593836,21146.281285,15228.150144,25967.312643,13086.807397,17398.624294,15781.705786,30071.538223,357455.3974773
New Mexico ,NM,Dona Ana ,35013,17546.199144,24862.985436,25010.867943,19073.690817,28416.834616,13304.850805,18701.237133,19642.610565,29872.398503,412447.95365199994
New Mexico ,NM,Santa Fe ,35049,11756.075039,17790.90804,17916.643511,13256.105562,22268.852525,10663.788425,13620.303585,14291.715377,22427.129689,298209.2825252
New York ,NY,Bronx ,36005,22356.10797,31622.316653,29404.487391,25192.61023,30588.459598,16618.346606,22770.710707,22654.562136,35593.72887,487445.1598626
New York ,NY,Kings ,36047,22704.025971,30388.557147,28992.375142,24594.627407,26906.556392,16212.927015,20432.130324,23255.014587,35078.970724,472848.7918581001
New York ,NY,Queens ,36081,22416.478312,27614.887625,27459.697602,24961.731589,27598.073744,15289.433919,19743.520857,23261.590959,32313.978254,451012.68059580005
New York ,NY,Richmond ,36085,20603.590271,27125.179581,26002.1353,23281.149102,26863.626991,14467.517641,18567.6327,20501.860923,32855.101943,436155.57296230004
New York ,NY,Onondaga ,36067,17861.143631,20775.704062,21859.192235,17216.348339,27184.165306,12450.906875,17979.929831,14949.506631,27049.772581,382742.3371213
North Carolina ,NC,Buncombe ,37021,19075.314732,19642.132136,21263.757507,15657.963811,24370.736138,12405.518191,16665.288352,18247.254056,26152.450277,366787.54415739997
North Carolina ,NC,Wake ,37183,19526.24434,21262.75933,23309.652403,17990.662369,27375.17703,12834.780225,17889.170501,17041.705418,27910.200277,393113.6493815
North Carolina ,NC,Mecklenburg ,37119,20298.295864,21548.128065,24334.774017,19697.508889,28232.254339,13724.984316,18125.572357,17525.456781,28403.48803,416108.50136530004
North Carolina ,NC,Cabarrus ,37025,22101.354979,23058.629015,24385.820722,20289.617103,28618.544737,14414.741968,19364.95827,22355.277129,30174.084254,429490.6172696
North Carolina ,NC,Cumberland ,37051,20079.666722,23642.537441,23738.136421,18534.637581,28402.946877,13147.898148,18741.520545,18611.674586,28978.785977,412596.5165092999
North Carolina ,NC,Gaston ,37071,21717.853411,24207.842402,23039.8712,18766.915238,27374.94291,14185.109429,19625.087398,22456.457943,29060.778216,424221.972492
North Carolina ,NC,Guilford ,37081,18683.907878,21387.175483,23094.924673,17324.791061,25889.107886,13295.765725,18271.968751,16930.935113,26381.657939,381917.950777
North Carolina ,NC,Pitt ,37147,26019.835185,25234.716731,25519.392732,19990.573401,29202.419007,13484.382495,19788.943546,15362.783387,34356.944085,434446.7744493
North Carolina ,NC,Davidson ,37057,19474.890372,22558.07273,20581.213235,18483.682712,27226.08362,13022.044084,18288.240242,16824.444854,29670.997159,403789.0687090001
North Carolina ,NC,Onslow ,37133,20189.25838,23244.864728,21172.124738,17689.842627,26034.200042,12805.999156,17768.179091,12627.616345,25908.454883,387935.0982196
North Carolina ,NC,Forsyth ,37067,18885.766902,22678.260335,21172.315776,17647.092453,28375.298087,13781.484219,18708.705565,17961.772791,31136.723905,407293.5141441
North Dakota ,ND,Cass ,38017,20066.665644,23404.868164,24212.465041,15964.693255,25904.00762,13565.558367,18006.020831,14949.30701,27053.018747,380912.3513044
Ohio ,OH,Summit ,39153,20838.034303,25476.06134,25237.774193,20190.768569,27892.530197,14078.453843,19489.778734,18212.496756,30718.717047,425528.84704069997
Ohio ,OH,Stark ,39151,19090.008225,24630.867816,24387.648125,19704.192818,26375.024576,13481.542583,18727.802613,22063.869034,31791.389983,419386.83497409994
Ohio ,OH,Hamilton ,39061,22699.020101,25644.795749,26817.577425,21600.208996,29100.077303,14790.941716,21079.499503,20353.513931,32441.396258,459380.2005142
Ohio ,OH,Cuyahoga ,39035,23552.223004,26114.684259,28083.12507,21800.918609,29185.602886,15119.154402,20912.66491,22384.010102,34231.457961,468337.77432250004
Ohio ,OH,Franklin ,39049,21489.960753,25799.05324,25034.829558,19750.149913,29573.400864,14510.790808,20152.486934,20242.163749,33262.688071,451814.70725539996
Ohio ,OH,Montgomery ,39113,23623.399416,27018.422452,26738.005413,21397.462296,30378.150577,14854.42701,20766.798872,23646.643694,32409.374938,457897.964962
Ohio ,OH,Lucas ,39095,21618.527645,27210.148295,25398.017783,21054.63173,28238.578722,14451.011347,20485.090715,21434.449604,32564.974941,444690.98553390004
Ohio ,OH,Mahoning ,39099,22108.204137,24782.112438,25934.072652,21221.508923,29174.077305,14279.845447,19115.024419,22173.859694,31786.831431,462560.906283
Oklahoma ,OK,Tulsa ,40143,23293.860535,26915.27846,26955.453957,21213.485982,30189.649114,15694.780992,20873.182787,21444.011716,34207.728105,463369.5758379
Oklahoma ,OK,Wagoner ,40145,20395.966373,26622.57022,24624.105772,20363.202723,29087.748246,14990.890812,19303.733152,21817.327393,29468.272308,426360.564373
Oklahoma ,OK,Oklahoma ,40109,22662.399378,25624.489823,25913.964115,21702.278406,28376.481944,15379.582549,18829.018754,25510.348173,32515.594877,453379.67584419996
Oklahoma ,OK,Comanche ,40031,20870.759446,24722.804929,23140.294153,20159.783162,22962.938947,13887.748001,16700.461472,18765.657139,27509.414138,404953.78252
Oklahoma ,OK,Cleveland ,40027,20438.31127,24674.764539,24517.193792,21065.933828,28757.713513,14309.904329,17355.676951,24232.780426,31127.668043,419517.6663531
Oklahoma ,OK,Canadian ,40017,19702.81022,23017.270765,23933.275656,19274.61462,26654.360895,13899.607876,17511.760725,24916.015,28735.456143,444111.002728
Oklahoma ,OK,Pottawatomie ,40125,22696.061221,25064.676233,23271.705576,20082.141462,27438.448496,14157.513315,18255.834965,17949.846447,31204.866954,403271.065044
Oklahoma ,OK,Osage ,40113,25483.953031,26473.759875,25536.996258,22710.22011,29257.669931,15422.090897,20706.687221,27434.312037,35280.655061,465234.604605
