Submission_ID,Facility_Name,Facility_City,Facility_State,Facility_County,Facility_Zip_Code,Facility_Latitude,Facility_Longitude,FRS_ID,AFS_NUMBER,Location_ID,Location_Name,Is_Location_Controlled,Duct_Diameter,Permit_Source_Name,Permit_Source_ID,Air_Permit_Number,SCC,NAICS,Process_Description,TEST_RUN_VALUE,AVERAGE_VALUE,Calculated_Average,Test_Run_Number,Pollutant_Name,CAS_Number,NEI_Pollutant_Code,POLLUTANT_UNIT,Measure,Material,Action,Detection_Limit_Flag,Test_Report_Rating,Test_Run_Date,Test_Method_Notes,Test_Method,Testing_Company,Testing_Project_Number,ERT_Version,Test_Report_Reference,Control_1,Control_2,Control_3,Control_4,Control_5,PROCESS_PARAMETER,PROCESS_PARAMETER_RATE,PROCESS_PARAMETER_VALUE,Regulation_Description,Regulatory_Limit,Stack_Temperature_F,Stack_Flow_Rate_acfm,Method_Mass_A,Method_Mass_B,Mass_Units,FILTER_TEMPERATURE_1_F,Filter_Temperature_2_F,Emissions_Value_LB_MMBtu_CO2,Emissions_Value_LB_MMBtu_O2
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Conditioning Vent Scrubber","1","24.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","1.53E-05","N/A","0","1","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Vent Scrubber","Vent Scrubber","","","","P2O5 Produced","Tons/hr","62.8"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","70.00","3,764.7","0.1"," ","mg","","","0.00E+00","0.00E+00"
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Conditioning Vent Scrubber","1","24.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","1.40E-05","N/A","0","2","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Vent Scrubber","Vent Scrubber","","","","P2O5 Produced","Tons/hr","63.7"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","72.58","3,710.1","0.1"," ","mg","","","0.00E+00","0.00E+00"
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Conditioning Vent Scrubber","1","24.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","1.46E-05","N/A","0","3","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","Vent Scrubber","Vent Scrubber","","","","P2O5 Produced","Tons/hr","63.7"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","74.33","3,751.5","0.1"," ","mg","","","0.00E+00","0.00E+00"
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Phosphoric Acid Plant Scrubber","1","81.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","4.90E-03","N/A","0","1","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","SCRUBBER","SCRUBBER","","","","P2O5 Produced","Tons/hr","62.8"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","92.00","96,726.9","1.37"," ","mg","","","0.00E+00","0.00E+00"
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Phosphoric Acid Plant Scrubber","1","81.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","4.43E-03","N/A","0","2","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","SCRUBBER","SCRUBBER","","","","P2O5 Produced","Tons/hr","63.7"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","93.17","101,965.8","1.24"," ","mg","","","0.00E+00","0.00E+00"
"80258029","Agrium CPO","Soda Springs","ID","Caribou Co","83276","","","110000468351",""," ","Phosphoric Acid Plant Scrubber","1","81.0","Phosphoric Acid Plant","","Tl-060308","30101703",""," ","6.03E-03","N/A","0","3","Total Fluoride","Total Fluoride","Total Fluoride","Lb","Tons","P2O5","Produced","","80","2016-03-23T00:00:00"," ","Method 13B","TETCO","","V5","Facility: Agrium CPO - Soda Springs, ID - Testing Company:  TETCO - 3/21/2016","SCRUBBER","SCRUBBER","","","","P2O5 Produced","Tons/hr","63.7"," Phosphoric Acid Manufacturing Plants and Phosphate Fertilizers Production Plants","0.013500 lb / Tons of P2O5 Fed","93.75","103,962.6","1.73"," ","mg","","","0.00E+00","0.00E+00"
"80258203","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","1","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","8","2017-01-19T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 1/18/2017","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","111.54","26,684.0","1.4"," ","mg","272.541666666667","","0.00E+00","0.00E+00"
"80258203","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","2","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","8","2017-01-19 00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 1/18/2017","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","112.17","25,376.3","3.3"," ","mg","272.916666666667","","0.00E+00","0.00E+00"
"80258203","AK Steel, Inc.","Middletown","OH","US","45043","","","110000392557",""," ","P023","0","60.0","No. 5 Pickler","P023","14-09-01-0006","30300910","112563"," ","0.00E+00","N/A","0","3","Hydrogen Chloride","7647-01-0","7647-01-0","","","","","","8","2017-01-19T00:00:00"," ","Method 26A","Environmental Quality Management, inc.","050074.0174","V5","Facility: AK Steel, Inc. - Middletown, OH - Testing Company:  Environmental Quality Management, inc. - 1/18/2017","SCRUBBER","SCRUBBER","","","","","","","40 CFR 63 Subpart CCC","18.000000 ppm","112.33","25,447.0","4.2"," ","mg","273.166666666667","","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","1","Carbon Dioxide","124-38-9","124-38-9","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A CO2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1986.88","",""," "," ","14.5"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","3","Carbon Dioxide","124-38-9","124-38-9","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A CO2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1999.25","",""," "," ","14.0"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","5","Carbon Dioxide","124-38-9","124-38-9","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A CO2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1984.99","",""," "," ","14.41"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","1.56E-02","N/A","0","5","Filterable Particulate","Filterable Particulate","Filterable Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1984.99","Consent Decree No C15-0061","0.030000 lb/million BTU using O2","294.08","780,757.1","0.0229"," ","gm","","319.25","0.00E+00","1.41E-02"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","1.30E-02","N/A","0","1","Filterable Particulate","Filterable Particulate","Filterable Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1986.88","Consent Decree No C15-0061","0.030000 lb/million BTU using O2","287.75","757,834.4","0.0185"," ","gm","","317.75","1.15E-02","1.19E-02"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","1.53E-02","N/A","0","3","Filterable Particulate","Filterable Particulate","Filterable Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1999.25","Consent Decree No C15-0061","0.030000 lb/million BTU using O2","293.83","788,266.3","0.0225"," ","gm","","311.166666666667","0.00E+00","1.35E-02"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","1","Oxygen","7782-44-7","7782-44-7","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A O2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1986.88","",""," "," ","5.11"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","3","Oxygen","7782-44-7","7782-44-7","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A O2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1999.25","",""," "," ","4.95"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","0.00E+00","N/A","0","5","Oxygen","7782-44-7","7782-44-7","Lb","1000 Tons","Subbituminous Coal","Burned"," ","23","2017-01-31T00:00:00"," ","Method 3A O2","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1984.99","",""," "," ","5.16"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","2.02E-02","N/A","0","1","Total Particulate","Total Particulate","Total Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1986.88","","","287.75","757,834.4","0.0288"," ","gm","","317.75","1.78E-02","1.85E-02"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","2.25E-02","N/A","0","3","Total Particulate","Total Particulate","Total Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1999.25","","","293.83","788,266.3","0.033"," ","gm","","311.166666666667","0.00E+00","1.97E-02"
"80258352","IPL - Burlington Generating Station","Burlington","IA","Des Moines Co","52601","40.741591","-91.118781","110000415355",""," ","Unit 1","1","173.76","Boiler #1 Main Plant Boiler","EU17","98-TV-023R2","10100226","221112"," ","2.41E-02","N/A","0","5","Total Particulate","Total Particulate","Total Particulate","Lb","1000 Tons","Subbituminous Coal","Burned","","23","2017-01-31T00:00:00"," ","Method 5/202","Mostardi Platt","M170307C","V5","Facility: IPL - Burlington Generating Station - Burlington, IA - Testing Company:  Mostardi Platt - 2/22/2017","ELECTROSTATIC PRECIPITATOR","LOW NOX BURNERS","Activated Carbon Injection (ACI)","OVERFIRE AIR","","Subbituminous Coal Burned","1000 Tons/hr","1984.99","","","294.08","780,757.1","0.0354"," ","gm","","319.25","0.00E+00","2.17E-02"
"80258457","Archer Daniels Midland","Clinton","IA","Clinton Co","52732","","","110032810064",""," ","Coal Boiler No. 3","1","144.0","Coal Boiler No. 3","EPCOG-3","11-TV-007","10300218","221112"," ","0.00E+00","N/A","0","1","Oxygen","7782-44-7","7782-44-7","Lb","Tons","Bituminous Coal","Burned"," ","60","2017-01-17T00:00:00"," ","Method 3A O2","Pace Analytical Services, LLC","12-17-0043","V5","Facility: Archer Daniels Midland - Clinton, IA - Testing Company:  Pace Analytical Services, LLC - 03/08/2017","BAGHOUSE","","","","","Bituminous Coal Burned","Tons/million BTU using O2","0.0","",""," "," ","6.5249"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258457","Archer Daniels Midland","Clinton","IA","Clinton Co","52732","","","110032810064",""," ","Coal Boiler No. 3","1","144.0","Coal Boiler No. 3","EPCOG-3","11-TV-007","10300218","221112"," ","0.00E+00","N/A","0","2","Oxygen","7782-44-7","7782-44-7","Lb","Tons","Bituminous Coal","Burned"," ","60","2017-01-17T00:00:00"," ","Method 3A O2","Pace Analytical Services, LLC","12-17-0043","V5","Facility: Archer Daniels Midland - Clinton, IA - Testing Company:  Pace Analytical Services, LLC - 03/08/2017","BAGHOUSE","","","","","Bituminous Coal Burned","Tons/million BTU using O2","0.0","",""," "," ","6.4307"," ","%vd"," "," ","0.00E+00","0.00E+00"
"80258457","Archer Daniels Midland","Clinton","IA","Clinton Co","52732","","","110032810064",""," ","Coal Boiler No. 3","1","144.0","Coal Boiler No. 3","EPCOG-3","11-TV-007","10300218","221112"," ","0.00E+00","N/A","0","3","Oxygen","7782-44-7","7782-44-7","Lb","Tons","Bituminous Coal","Burned"," ","60","2017-01-17T00:00:00"," ","Method 3A O2","Pace Analytical Services, LLC","12-17-0043","V5","Facility: Archer Daniels Midland - Clinton, IA - Testing Company:  Pace Analytical Services, LLC - 03/08/2017","BAGHOUSE","","","","","Bituminous Coal Burned","Tons/million BTU using O2","0.0","",""," "," ","6.4257"," ","%vd"," "," ","0.00E+00","0.00E+00"
